cbsa_name,20th percentile,95th percentile,Ratio
"Akron, OH","21,522","185,176",8.6
"Albany-Schenectady-Troy, NY","26,984","217,349",8.1
"Albuquerque, NM","20,620","188,571",9.1
"Allentown-Bethlehem-Easton, PA-NJ","27,703","207,136",7.5
"Atlanta-Sandy Springs-Roswell, GA","26,684","234,699",8.8
"Augusta-Richmond County, GA-SC","20,003","161,541",8.1
"Austin-Round Rock, TX","31,235","269,832",8.6
"Bakersfield, CA","20,910","177,738",8.5
"Baltimore-Columbia-Towson, MD","30,228","257,237",8.5
"Baton Rouge, LA","21,193","201,783",9.5
"Birmingham-Hoover, AL","21,010","190,607",9.1
"Boise City, ID","24,162","179,149",7.4
"Boston-Cambridge-Newton, MA-NH","30,328","302,276",10.0
"Bridgeport-Stamford-Norwalk, CT","34,258","485,657",14.2
"Buffalo-Cheektowaga-Niagara Falls, NY","21,136","184,777",8.7
"Cape Coral-Fort Myers, FL","24,360","193,214",7.9
"Charleston-North Charleston, SC","24,018","210,376",8.8
"Charlotte-Concord-Gastonia, NC-SC","26,125","217,811",8.3
"Chattanooga, TN-GA","20,474","182,214",8.9
"Chicago-Naperville-Elgin, IL-IN-WI","25,921","245,949",9.5
"Cincinnati, OH-KY-IN","24,523","211,187",8.6
"Cleveland-Elyria, OH","21,064","197,454",9.4
"Colorado Springs, CO","28,154","201,009",7.1
"Columbia, SC","22,249","180,630",8.1
"Columbus, OH","25,638","209,864",8.2
"Dallas-Fort Worth-Arlington, TX","28,601","234,781",8.2
"Dayton, OH","20,684","176,600",8.5
"Deltona-Daytona Beach-Ormond Beach, FL","20,699","153,916",7.4
"Denver-Aurora-Lakewood, CO","32,243","264,996",8.2
"Des Moines-West Des Moines, IA","29,734","213,480",7.2
"Detroit-Warren-Dearborn, MI","22,298","209,570",9.4
"El Paso, TX","17,110","147,402",8.6
"Fresno, CA","18,524","187,121",10.1
"Grand Rapids-Wyoming, MI","26,728","183,957",6.9
"Greensboro-High Point, NC","19,529","172,896",8.9
"Greenville-Anderson-Mauldin, SC","21,775","181,405",8.3
"Harrisburg-Carlisle, PA","28,410","197,249",6.9
"Hartford-West Hartford-East Hartford, CT","29,321","256,078",8.7
"Houston-The Woodlands-Sugar Land, TX","25,190","257,237",10.2
"Indianapolis-Carmel-Anderson, IN","24,438","201,356",8.2
"Jackson, MS","21,272","185,411",8.7
"Jacksonville, FL","25,825","201,106",7.8
"Kansas City, MO-KS","27,415","210,160",7.7
"Knoxville, TN","21,163","175,423",8.3
"Lakeland-Winter Haven, FL","20,959","151,930",7.2
"Las Vegas-Henderson-Paradise, NV","24,088","181,804",7.5
"Little Rock-North Little Rock-Conway, AR","21,503","180,737",8.4
"Los Angeles-Long Beach-Anaheim, CA","25,190","271,041",10.8
"Louisville/Jefferson County, KY-IN","24,455","193,520",7.9
"Madison, WI","30,524","216,362",7.1
"McAllen-Edinburg-Mission, TX","14,656","145,646",9.9
"Memphis, TN-MS-AR","19,192","182,423",9.5
"Miami-Fort Lauderdale-West Palm Beach, FL","21,198","221,668",10.5
"Milwaukee-Waukesha-West Allis, WI","22,637","212,346",9.4
"Minneapolis-St. Paul-Bloomington, MN-WI","31,969","241,306",7.5
"Nashville-Davidson--Murfreesboro--Franklin, TN","27,172","211,360",7.8
"New Haven-Milford, CT","26,169","228,440",8.7
"New Orleans-Metairie, LA","18,644","197,190",10.6
"New York-Newark-Jersey City, NY-NJ-PA","25,391","304,292",12.0
"North Port-Sarasota-Bradenton, FL","25,150","211,076",8.4
"Ogden-Clearfield, UT","35,545","184,908",5.2
"Oklahoma City, OK","23,150","196,579",8.5
"Omaha-Council Bluffs, NE-IA","27,789","204,550",7.4
"Orlando-Kissimmee-Sanford, FL","23,845","190,932",8.0
"Oxnard-Thousand Oaks-Ventura, CA","32,747","265,197",8.1
"Palm Bay-Melbourne-Titusville, FL","22,052","192,061",8.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","25,571","246,971",9.7
"Phoenix-Mesa-Scottsdale, AZ","25,676","210,270",8.2
"Pittsburgh, PA","22,973","199,782",8.7
"Portland-Vancouver-Hillsboro, OR-WA","30,297","231,306",7.6
"Providence-Warwick, RI-MA","22,981","211,785",9.2
"Provo-Orem, UT","31,575","204,456",6.5
"Raleigh, NC","31,873","245,992",7.7
"Richmond, VA","27,601","218,142",7.9
"Riverside-San Bernardino-Ontario, CA","24,267","195,269",8.0
"Rochester, NY","23,364","185,457",7.9
"Sacramento--Roseville--Arden-Arcade, CA","26,571","231,152",8.7
"St. Louis, MO-IL","25,987","210,095",8.1
"Salt Lake City, UT","32,545","212,946",6.5
"San Antonio-New Braunfels, TX","24,408","201,882",8.3
"San Diego-Carlsbad, CA","30,228","253,005",8.4
"San Francisco-Oakland-Hayward, CA","36,273","397,594",11.0
"San Jose-Sunnyvale-Santa Clara, CA","40,807","428,729",10.5
"Scranton--Wilkes-Barre--Hazleton, PA","19,559","168,199",8.6
"Seattle-Tacoma-Bellevue, WA","34,258","272,049",7.9
"Spokane-Spokane Valley, WA","23,357","181,918",7.8
"Springfield, MA","21,830","188,808",8.6
"Stockton-Lodi, CA","24,433","205,311",8.4
"Syracuse, NY","22,199","183,561",8.3
"Tampa-St. Petersburg-Clearwater, FL","22,002","189,853",8.6
"Toledo, OH","19,136","176,437",9.2
"Tucson, AZ","19,876","176,729",8.9
"Tulsa, OK","21,913","186,759",8.5
"Urban Honolulu, HI","36,273","281,923",7.8
"Virginia Beach-Norfolk-Newport News, VA-NC","27,382","201,524",7.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV","40,304","320,211",7.9
"Wichita, KS","23,312","177,733",7.6
"Winston-Salem, NC","20,582","172,255",8.4
"Worcester, MA-CT","26,959","233,716",8.7
"Youngstown-Warren-Boardman, OH-PA","19,374","148,234",7.7
